preprocessing_step,snr,cnr,mse,psnr,ssim,relative_psnr,relative_rmse,file_path
No preprocessing,22.932068,22.788515,-1,-1,-1,18.498497009277344,0.88278306,data/raw_nii/train_set/preprocessed/sub-A00022687_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,25.232145,25.109129,-1,-1,-1,17.308638095855713,0.62406844,data/raw_nii/train_set/preprocessed/sub-A00024932_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,26.97923,26.867485,-1,-1,-1,17.995465993881226,0.5044957,data/raw_nii/train_set/preprocessed/sub-A00014175_ses-20110101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,15.837725,15.625264,-1,-1,-1,15.41175127029419,0.5460297,data/raw_nii/train_set/preprocessed/sub-A00025969_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,22.88456,22.751253,-1,-1,-1,17.854522466659546,0.7850308,data/raw_nii/train_set/preprocessed/sub-A00020787_ses-20100101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,25.838543,25.71311,-1,-1,-1,21.08553171157837,0.77049863,data/raw_nii/train_set/preprocessed/sub-A00019750_ses-20120101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,27.97242,27.859184,-1,-1,-1,16.966696977615356,0.64608145,data/raw_nii/train_set/preprocessed/sub-A00037649_ses-20130101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,24.14405,24.018652,-1,-1,-1,16.463687419891357,0.6587588,data/raw_nii/train_set/preprocessed/sub-A00035836_ses-20130101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,22.18394,22.045599,-1,-1,-1,15.3970205783844,0.54029506,data/raw_nii/train_set/preprocessed/sub-A00023750_ses-20090101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,24.478575,24.35746,-1,-1,-1,16.96904182434082,0.5809814,data/raw_nii/train_set/preprocessed/sub-A00021072_ses-20100101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,23.030685,22.895834,-1,-1,-1,16.323554515838623,0.7118361,data/raw_nii/train_set/preprocessed/sub-A00003150_ses-20110101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,24.235275,24.108894,-1,-1,-1,18.129394054412842,0.30629304,data/raw_nii/train_set/preprocessed/sub-A00024228_ses-20090101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,20.551384,20.398424,-1,-1,-1,17.6743483543396,0.7480845,data/raw_nii/train_set/preprocessed/sub-A00016197_ses-20090101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,24.466444,24.33953,-1,-1,-1,17.090985774993896,0.7667598,data/raw_nii/train_set/preprocessed/sub-A00027787_ses-20110101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,26.16326,26.047853,-1,-1,-1,19.081552028656006,0.74384373,data/raw_nii/train_set/preprocessed/sub-A00024568_ses-20090101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,24.419498,24.291584,-1,-1,-1,17.62566566467285,0.8243255,data/raw_nii/train_set/preprocessed/sub-A00000838_ses-20100101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,24.662613,24.54383,-1,-1,-1,18.784199953079224,0.25897568,data/raw_nii/train_set/preprocessed/sub-A00000541_ses-20100101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,23.297323,23.164303,-1,-1,-1,17.761778831481934,0.6389445,data/raw_nii/train_set/preprocessed/sub-A00024301_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,21.453505,21.315788,-1,-1,-1,17.818522453308105,0.888955,data/raw_nii/train_set/preprocessed/sub-A00013216_ses-20110101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,25.794611,25.674746,-1,-1,-1,16.69974684715271,0.62111247,data/raw_nii/train_set/preprocessed/sub-A00038624_ses-20130101_acq-mprage_run-02_echo-01_T1w.nii.gz.pt
No preprocessing,23.583378,23.453142,-1,-1,-1,16.71703815460205,0.47705677,data/raw_nii/train_set/preprocessed/sub-A00014898_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,25.422243,25.294954,-1,-1,-1,18.54061245918274,0.60327893,data/raw_nii/train_set/preprocessed/sub-A00021598_ses-20110101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,22.061337,21.923384,-1,-1,-1,19.427614212036133,0.8884442,data/raw_nii/train_set/preprocessed/sub-A00024546_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,22.229065,22.098507,-1,-1,-1,16.094160079956055,0.51963216,data/raw_nii/train_set/preprocessed/sub-A00014636_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,29.043688,28.929497,-1,-1,-1,17.687455415725708,0.8933487,data/raw_nii/train_set/preprocessed/sub-A00034273_ses-20120101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,27.808792,27.694477,-1,-1,-1,19.572126865386963,0.97661966,data/raw_nii/train_set/preprocessed/sub-A00028052_ses-20110101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,26.296598,26.176592,-1,-1,-1,15.248037576675415,0.7176585,data/raw_nii/train_set/preprocessed/sub-A00020414_ses-20100101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,22.2864,22.1464,-1,-1,-1,17.08921790122986,0.71336335,data/raw_nii/train_set/preprocessed/sub-A00019349_ses-20100101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,21.56071,21.42353,-1,-1,-1,15.77221155166626,0.67952555,data/raw_nii/train_set/preprocessed/sub-A00014522_ses-20100101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,22.843218,22.714735,-1,-1,-1,15.643792152404785,0.6172144,data/raw_nii/train_set/preprocessed/sub-A00000300_ses-20110101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,21.651093,21.504896,-1,-1,-1,17.240140438079834,0.817325,data/raw_nii/train_set/preprocessed/sub-A00018335_ses-20090101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,20.879114,20.732964,-1,-1,-1,18.602815866470337,0.72069144,data/raw_nii/train_set/preprocessed/sub-A00018434_ses-20100101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,21.828196,21.690788,-1,-1,-1,17.677446603775024,0.9671056,data/raw_nii/train_set/preprocessed/sub-A00027616_ses-20090101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,23.509354,23.382553,-1,-1,-1,17.50965118408203,0.7103479,data/raw_nii/train_set/preprocessed/sub-A00036844_ses-20130101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,27.594664,27.480852,-1,-1,-1,18.415178060531616,0.8097433,data/raw_nii/train_set/preprocessed/sub-A00018553_ses-20110101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,18.171661,18.011522,-1,-1,-1,15.676848888397217,0.63512975,data/raw_nii/train_set/preprocessed/sub-A00024663_ses-20090101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,21.760223,21.622297,-1,-1,-1,16.18960976600647,0.6379518,data/raw_nii/train_set/preprocessed/sub-A00023366_ses-20090101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,23.867668,23.739996,-1,-1,-1,16.150379180908203,0.5876632,data/raw_nii/train_set/preprocessed/sub-A00037007_ses-20130101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,25.698233,25.580866,-1,-1,-1,19.33523416519165,0.92790717,data/raw_nii/train_set/preprocessed/sub-A00031478_ses-20120101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,19.519016,19.369375,-1,-1,-1,16.40392541885376,0.51435626,data/raw_nii/train_set/preprocessed/sub-A00012767_ses-20100101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,25.113007,24.988949,-1,-1,-1,16.30039930343628,0.5682137,data/raw_nii/train_set/preprocessed/sub-A00021591_ses-20110101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,22.15432,22.023327,-1,-1,-1,16.532747745513916,0.6681483,data/raw_nii/train_set/preprocessed/sub-A00015518_ses-20100101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,24.641468,24.521648,-1,-1,-1,17.428606748580933,0.58316374,data/raw_nii/train_set/preprocessed/sub-A00002480_ses-20110101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,23.100504,22.970621,-1,-1,-1,18.83259415626526,0.6938598,data/raw_nii/train_set/preprocessed/sub-A00037495_ses-20130101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,19.756071,19.604078,-1,-1,-1,16.26432776451111,0.5208167,data/raw_nii/train_set/preprocessed/sub-A00028402_ses-20120101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,28.370216,28.257336,-1,-1,-1,19.15775418281555,0.9760329,data/raw_nii/train_set/preprocessed/sub-A00023143_ses-20090101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,23.915447,23.788677,-1,-1,-1,16.615307331085205,0.6570886,data/raw_nii/train_set/preprocessed/sub-A00018129_ses-20100101_acq-mprage_run-01_T1w.nii.gz.pt
No preprocessing,24.995497,24.875181,-1,-1,-1,17.079713344573975,0.59628755,data/raw_nii/train_set/preprocessed/sub-A00022619_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.gz.pt
No preprocessing,24.24213,24.114666,-1,-1,-1,18.017337322235107,0.69559985,data/raw_nii/train_set/preprocessed/sub-A00006754_ses-20110101_acq-mprage_run-01_T1w.nii.gz.pt
